Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70.0,9.32375833901174,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,0,1040.0,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,11.771443882099637
12,60,RL,85.0,9.386392315756542,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177,1175.0,GasA,Ex,Y,SBrkr,1182.0,1142.0,0,2324.0,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736.0,TA,TA,Y,147.0,21.0,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,12.75130259456002
13,20,RL,71.0,9.470317173335742,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175,912.0,GasA,TA,Y,SBrkr,912.0,0.0,0,912.0,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1962,Unf,1,352.0,TA,TA,Y,140.0,0.0,0,0,176,0,NA,NA,NA,0,9,2008,WD,Normal,11.87757552297847
14,20,RL,91.0,9.273596821611198,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0,1494.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840.0,TA,TA,Y,160.0,33.0,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,12.540761149388421
15,20,RL,73.0,9.298442820197728,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520,1253.0,GasA,TA,Y,SBrkr,1253.0,0.0,0,1253.0,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352.0,TA,TA,Y,0.0,213.0,176,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,11.964007453736912
16,45,RM,51.0,8.71948076085107,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832,832.0,GasA,Ex,Y,FuseA,854.0,0.0,0,854.0,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576.0,TA,TA,Y,48.0,112.0,0,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,11.790564777297387
17,20,RL,73.0,9.32741204356202,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0,1004.0,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,11.91170829631447
18,90,RL,72.0,9.286560397887591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0,0.0,GasA,TA,Y,SBrkr,1296.0,0.0,0,1296.0,0,0,2,0,2,2,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,11.407576060361786
19,20,RL,66.0,9.524859098381523,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468,1114.0,GasA,Ex,Y,SBrkr,1114.0,0.0,0,1114.0,1,0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,2004,Unf,2,576.0,TA,TA,Y,0.0,102.0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,11.976665770490767
20,20,RL,70.0,8.93075873555827,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525,1029.0,GasA,TA,Y,SBrkr,1339.0,0.0,0,1339.0,0,0,1,0,3,1,TA,6,Min1,0,NA,Attchd,1958,Unf,1,294.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,11.842236406331555
21,60,RL,101.0,9.562123369834488,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158,1158.0,GasA,Ex,Y,SBrkr,1158.0,1218.0,0,2376.0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853.0,TA,TA,Y,240.0,154.0,0,0,0,0,NA,NA,NA,0,11,2006,New,Partial,12.692506186542177
22,45,RM,57.0,8.915969311373605,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637,637.0,GasA,Ex,Y,FuseF,1108.0,0.0,0,1108.0,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280.0,TA,TA,N,0.0,0.0,205,0,0,0,NA,GdPrv,NA,0,6,2007,WD,Normal,11.845109950883979
23,20,RL,75.0,9.184304357425342,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777,1777.0,GasA,Ex,Y,SBrkr,1795.0,0.0,0,1795.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534.0,TA,TA,Y,171.0,159.0,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,12.345838935721968
24,120,RM,44.0,8.348774539791274,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200,1040.0,GasA,TA,Y,SBrkr,1060.0,0.0,0,1060.0,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572.0,TA,TA,Y,100.0,110.0,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,11.774527900858468
25,20,RL,71.0,9.017604776833355,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,530.5071334881184,204,1060.0,GasA,Ex,Y,SBrkr,1060.0,0.0,0,1060.0,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270.0,TA,TA,Y,406.0,90.0,0,0,0,0,NA,MnPrv,NA,0,5,2010,WD,Normal,11.944714374881176
26,20,RL,110.0,9.56317796268366,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566,1566.0,GasA,Ex,Y,SBrkr,1600.0,0.0,0,1600.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890.0,TA,TA,Y,0.0,56.0,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,12.454107814022272
27,20,RL,60.0,8.881975184248867,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180,900.0,GasA,TA,Y,SBrkr,900.0,0.0,0,900.0,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,2005,Unf,2,576.0,TA,TA,Y,222.0,32.0,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,11.811554895830454
28,20,RL,98.0,9.348274558065496,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0,1704.0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772.0,TA,TA,Y,0.0,50.0,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,12.631343648903034
29,20,RL,47.0,9.700269170029188,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207,1484.0,GasA,TA,Y,SBrkr,1600.0,0.0,0,1600.0,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319.0,TA,TA,Y,288.0,245.42835700255188,0,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,12.242891437918386
30,30,RM,60.0,8.752265313595721,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520,520.0,GasA,Fa,N,SBrkr,520.0,0.0,0,520.0,0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,240.0,Fa,TA,Y,49.0,0.0,87,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,11.134603622683905
31,70,C (all),50.0,9.04793908261736,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649,649.0,GasA,TA,N,SBrkr,649.0,668.0,0,1317.0,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,250.0,TA,Fa,N,0.0,54.0,172,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,10.596659732783579
32,20,RL,71.0,9.053101595549691,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228,1228.0,GasA,Gd,Y,SBrkr,1228.0,0.0,0,1228.0,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1966,Unf,1,271.0,TA,TA,Y,0.0,65.0,0,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,11.914054519303125
33,20,RL,85.0,9.3101857069459,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234,1234.0,GasA,Ex,Y,SBrkr,1234.0,0.0,0,1234.0,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,484.0,TA,TA,Y,0.0,30.0,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,12.100161978566867
34,20,RL,70.0,9.26416545867109,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380,1398.0,GasA,Gd,Y,SBrkr,1700.0,0.0,0,1700.0,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447.0,TA,TA,Y,0.0,38.0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,12.016732516077072
35,120,RL,60.0,8.897545598709327,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0.0,408,1561.0,GasA,Ex,Y,SBrkr,1561.0,0.0,0,1561.0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556.0,TA,TA,Y,203.0,47.0,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,12.533579815765737
36,60,RL,108.0,9.504426892100957,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1117,1117.0,GasA,Ex,Y,SBrkr,1132.0,1320.0,0,2452.0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691.0,TA,TA,Y,113.0,32.0,0,0,0,0,NA,NA,NA,0,9,2006,WD,Normal,12.6410997921206
37,20,RL,112.0,9.292841593487926,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097,1097.0,GasA,Ex,Y,SBrkr,1097.0,0.0,0,1097.0,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1995,Unf,2,672.0,TA,TA,Y,392.0,64.0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,11.884495917930655
38,20,RL,74.0,9.051696278536586,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,645.3112433620423,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0.0,84,1297.0,GasA,Gd,Y,SBrkr,1297.0,0.0,0,1297.0,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,11.938199736300925
39,20,RL,68.0,8.977525200965243,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326,1057.0,GasA,TA,Y,SBrkr,1057.0,0.0,0,1057.0,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1953,Unf,1,246.0,TA,TA,Y,0.0,52.0,0,0,0,0,NA,NA,NA,0,1,2010,WD,Abnorml,11.599112335481124
40,90,RL,65.0,8.706324840138741,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NA,NA,NA,NA,0.0,NA,0.0,0,0.0,GasA,TA,N,FuseP,1152.0,0.0,0,1152.0,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,1980,NA,0,0.0,NA,NA,N,0.0,0.0,0,0,0,0,NA,NA,NA,0,6,2008,WD,AdjLand,11.314486721293981
41,20,RL,84.0,9.066354521447801,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643.0,Unf,0.0,445,1088.0,GasA,Ex,Y,SBrkr,1324.0,0.0,0,1324.0,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440.0,TA,TA,Y,0.0,138.0,0,0,0,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,11.982935344196433
42,20,RL,115.0,9.735423867488873,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967.0,Unf,0.0,383,1350.0,GasA,Gd,Y,SBrkr,1328.0,0.0,0,1328.0,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308.0,TA,TA,P,0.0,104.0,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,12.04355959836804
43,85,RL,66.5,9.1248914101437,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747.0,LwQ,93.0,0,840.0,GasA,Gd,Y,SBrkr,884.0,0.0,0,884.0,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,1983,RFn,2,504.0,TA,Gd,Y,240.0,0.0,0,0,0,0,NA,MnPrv,NA,0,12,2007,WD,Normal,11.87757552297847
44,20,RL,70.0,9.127067452782361,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280.0,BLQ,491.0,167,938.0,GasA,TA,Y,SBrkr,938.0,0.0,0,938.0,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1977,Unf,1,308.0,TA,TA,Y,145.0,0.0,0,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,11.777218637129327
